"Life expectancy at birth"
"Total, Number of years, 2022"
"Category","Life expectancy at birth"
"Japan",84.1
"Switzerland",83.7
"Spain",83.2
"Australia",83.2
"Sweden",83.1
"Luxembourg",83
"Israel",82.8
"Italy",82.8
"Korea",82.7
"Ireland",82.6
"Norway",82.5
"France",82.3
"Iceland",82.1
"New Zealand",82
"Belgium",81.8
"Portugal",81.8
"Netherlands",81.7
"Austria",81.4
"Slovenia",81.3
"Canada",81.3
"Denmark",81.3
"Chile",81.2
"Finland",81.2
"United Kingdom",80.9
"Costa Rica",80.9
"Greece",80.8
"Germany",80.7
"Czechia",79
"Estonia",78.1
"United States",77.5
"Türkiye",77.3
"Poland",77.2
"Slovak Rep.",77
"Colombia",76.9
"Hungary",76
"Lithuania",75.8
"Mexico",75.2
"Latvia",74.5
