"Health spending"
"% of GDP, 2023"
"Category","Annual"
"United States",16.694
"Germany",11.744
"Switzerland",11.691
"France",11.503
"Sweden",11.278
"Canada",11.187
"Austria",11.153
"United Kingdom",10.991
"Belgium",10.804
"Japan",10.74
"Finland",10.474
"Chile",10.175
"New Zealand",10.129
"Portugal",10.028
"Australia",9.884
"Netherlands",9.832
"Denmark",9.513
"Norway",9.416
"Slovenia",9.3
"Spain",9.221
"Iceland",8.705
"Korea",8.472
"Czechia",8.427
"Italy",8.406
"Greece",8.394
"Colombia",8.158
"Estonia",7.471
"Slovak Rep.",7.353
"Lithuania",7.319
"Latvia",7.278
"Poland",7.138
"Israel",7.098
"Costa Rica",6.866
"Ireland",6.575
"Hungary",6.369
"Mexico",5.696
"Luxembourg",5.668
"Türkiye",4.275
